method,run_name,seed,num_updates,num_env_steps,wall_clock_seconds,solve_rate,checkpoint_solve_rate,validation_solve_rate,SixteenRooms,checkpoint_SixteenRooms,SixteenRooms2,checkpoint_SixteenRooms2,Labyrinth,checkpoint_Labyrinth,LabyrinthFlipped,checkpoint_LabyrinthFlipped,Labyrinth2,checkpoint_Labyrinth2,StandardMaze,checkpoint_StandardMaze,StandardMaze2,checkpoint_StandardMaze2,StandardMaze3,checkpoint_StandardMaze3
accel_frontier_lp_adaptive,accel_frontier_lp_adaptive_u250_s0,0,250,2048000,1590.6781816482544,0,,0.22812500596046448,0,,0,,0,,0,,0,,0,,0,,0,
accel_frontier_lp,accel_frontier_lp_u250_s0,0,250,2048000,1566.3334770202637,0,,0.15937501192092896,0,,0,,0,,0,,0,,0,,0,,0,
accel_mna,accel_mna_u250_s0,0,250,2048000,1562.2043833732605,0,,0.2031250149011612,0,,0,,0,,0,,0,,0,,0,,0,
baseline_accel_maxmc,baseline_accel_maxmc_u250_s0,0,250,2048000,672.2340705394745,0.012500000186264515,,,0.10000000149011612,,0,,0,,0,,0,,0,,0,,0,
baseline_accel_maxmc,baseline_accel_maxmc_u30000_s0,0,30000,245760000,24.59637761116028,0.1875,0.2,0.9562499523162842,0.9000000357627869,0.8,0,0,0,0.1,0,0,0,0,0,0,0,0,0.6000000238418579,0.7
baseline_accel_maxmc,baseline_accel_maxmc_u30000_s1,1,30000,245760000,25.37336277961731,0.7749999761581421,0.8125,0.9624999761581421,1,1,1,1,0.5,0.3,0.699999988079071,0.8,1,1,1,1,0.4000000059604645,0.6,0.6000000238418579,0.8
baseline_accel_maxmc,baseline_accel_maxmc_u30000_s2,2,30000,245760000,25.32932186126709,0.5750000476837158,0.5875,0.965624988079071,1,1,0,0,0.9000000357627869,1,0.9000000357627869,1,0.10000000149011612,0,0.30000001192092896,0.6,0.9000000357627869,1,0.5,0.1
baseline_accel_maxmc,baseline_accel_maxmc_u30000_s3,3,30000,245760000,24.386555194854736,0.6125000715255737,0.6375,0.9468749761581421,1,1,0.10000000149011612,0.3,0,0,0.9000000357627869,0.9,0.9000000357627869,1,0.800000011920929,0.7,0.20000000298023224,0.2,1,1
baseline_accel_maxmc,baseline_accel_maxmc_u30000_s4,4,30000,245760000,25.61038327217102,0.4375,0.36250000000000004,0.965624988079071,0.699999988079071,0.3,0.10000000149011612,0,0.10000000149011612,0,0.30000001192092896,0.4,1,1,0.9000000357627869,0.8,0.20000000298023224,0.2,0.20000000298023224,0.2
baseline_accel_maxmc,baseline_accel_maxmc_u30000_s5,5,30000,245760000,25.249445915222168,0.5375000238418579,0.475,0.9593750238418579,1,1,0.9000000357627869,0.6,0.10000000149011612,0.2,0,0,1,1,0.30000001192092896,0.1,0,0,1,0.9
baseline_dr,baseline_dr_u250_s0,0,250,2048000,1189.7826125621796,0,,,0,,0,,0,,0,,0,,0,,0,,0,
baseline_dr,baseline_dr_u30000_s0,0,30000,245760000,46.27722096443176,0.30000001192092896,0.3,,1,0.9,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.9000000357627869,1
baseline_dr,baseline_dr_u30000_s1,1,30000,245760000,46.15903306007385,0.5,0.45,,1,1,0.9000000357627869,0.8,0.9000000357627869,0.7,0,0,0,0.1,0.10000000149011612,0,0.10000000149011612,0,1,1
baseline_dr,baseline_dr_u30000_s2,2,30000,245760000,46.23509645462036,0.512499988079071,0.575,,1,1,1,1,1,1,0,0,0.30000001192092896,0.7,0,0,0.800000011920929,0.8,0,0.1
baseline_plr_maxmc,baseline_plr_maxmc_u1000_s0,0,1000,8192000,1185.812090396881,0.02500000037252903,,0.8468749523162842,0.20000000298023224,,0,,0,,0,,0,,0,,0,,0,
baseline_plr_maxmc,baseline_plr_maxmc_u250_s0,0,250,2048000,845.0108411312103,0,,,0,,0,,0,,0,,0,,0,,0,,0,
